# Radius 	finiterdf__LJ_LJ	rdf__LJ_LJ	
0.00454581 0	0	
0.0136374 0	0	
0.0227291 0	0	
0.0318207 0	0	
0.0409123 0	0	
0.0500039 0	0	
0.0590955 0	0	
0.0681872 0	0	
0.0772788 0	0	
0.0863704 0	0	
0.095462 0	0	
0.104554 0	0	
0.113645 0	0	
0.122737 0	0	
0.131829 0	0	
0.14092 0	0	
0.150012 0	0	
0.159103 0	0	
0.168195 0	0	
0.177287 0	0	
0.186378 0	0	
0.19547 0	0	
0.204562 0	0	
0.213653 0	0	
0.222745 0	0	
0.231836 0	0	
0.240928 0	0	
0.25002 0	0	
0.259111 0	0	
0.268203 0	0	
0.277294 0	0	
0.286386 0	0	
0.295478 0	0	
0.304569 0	0	
0.313661 0	0	
0.322753 0	0	
0.331844 0	0	
0.340936 0	0	
0.350027 0	0	
0.359119 0	0	
0.368211 0	0	
0.377302 0	0	
0.386394 0	0	
0.395486 0	0	
0.404577 0	0	
0.413669 0	0	
0.42276 0	0	
0.431852 0	0	
0.440944 0	0	
0.450035 0	0	
0.459127 0	0	
0.468219 0	0	
0.47731 0	0	
0.486402 0	0	
0.495493 0	0	
0.504585 0	0	
0.513677 0	0	
0.522768 0	0	
0.53186 0	0	
0.540952 0	0	
0.550043 0	0	
0.559135 0	0	
0.568226 0	0	
0.577318 0	0	
0.58641 0	0	
0.595501 0	0	
0.604593 0	0	
0.613685 0	0	
0.622776 0	0	
0.631868 0	0	
0.640959 0	0	
0.650051 0	0	
0.659143 0	0	
0.668234 0	0	
0.677326 0	0	
0.686418 0	0	
0.695509 0	0	
0.704601 0	0	
0.713692 0	0	
0.722784 0	0	
0.731876 0	0	
0.740967 0	0	
0.750059 0	0	
0.75915 0	0	
0.768242 0	0	
0.777334 0	0	
0.786425 0	0	
0.795517 0	0	
0.804609 0	0	
0.8137 0	0	
0.822792 0	0	
0.831883 0	0	
0.840975 0	0	
0.850067 0	0	
0.859158 0	0	
0.86825 0	0	
0.877342 0	0	
0.886433 0	0	
0.895525 0	0	
0.904616 0	0	
0.913708 0	0	
0.9228 0	0	
0.931891 0	0	
0.940983 0	0	
0.950075 0	0	
0.959166 0	0	
0.968258 0	0	
0.977349 0	0	
0.986441 0	0	
0.995533 0	0	
1.00462 0	0	
1.01372 0	0	
1.02281 0	0	
1.0319 0	0	
1.04099 0	0	
1.05008 0	0	
1.05917 0	0	
1.06827 0	0	
1.07736 0	0	
1.08645 0	0	
1.09554 0	0	
1.10463 0	0	
1.11372 0	0	
1.12282 0	0	
1.13191 0	0	
1.141 0	0	
1.15009 0	0	
1.15918 0	0	
1.16827 0	0	
1.17737 0	0	
1.18646 0	0	
1.19555 0	0	
1.20464 0	0	
1.21373 0	0	
1.22282 0	0	
1.23191 0	0	
1.24101 0	0	
1.2501 0	0	
1.25919 0	0	
1.26828 0	0	
1.27737 0	0	
1.28646 0	0	
1.29556 0	0	
1.30465 0	0	
1.31374 0	0	
1.32283 0	0	
1.33192 0	0	
1.34101 0	0	
1.35011 0	0	
1.3592 0	0	
1.36829 0	0	
1.37738 0	0	
1.38647 0	0	
1.39556 0	0	
1.40466 0	0	
1.41375 0	0	
1.42284 0	0	
1.43193 0	0	
1.44102 0	0	
1.45011 0	0	
1.45921 0	0	
1.4683 0	0	
1.47739 0	0	
1.48648 0	0	
1.49557 0	0	
1.50466 0	0	
1.51376 0	0	
1.52285 0	0	
1.53194 0	0	
1.54103 0	0	
1.55012 0	0	
1.55921 0	0	
1.5683 0	0	
1.5774 0	0	
1.58649 0	0	
1.59558 0	0	
1.60467 0	0	
1.61376 0	0	
1.62285 0	0	
1.63195 0	0	
1.64104 0	0	
1.65013 0	0	
1.65922 0	0	
1.66831 0	0	
1.6774 0	0	
1.6865 0	0	
1.69559 0	0	
1.70468 0	0	
1.71377 0	0	
1.72286 0	0	
1.73195 0	0	
1.74105 0	0	
1.75014 0	0	
1.75923 0	0	
1.76832 0	0	
1.77741 0	0	
1.7865 0	0	
1.7956 0	0	
1.80469 0	0	
1.81378 0	0	
1.82287 0	0	
1.83196 0	0	
1.84105 0	0	
1.85015 0	0	
1.85924 0	0	
1.86833 0	0	
1.87742 0	0	
1.88651 0	0	
1.8956 0	0	
1.90469 0	0	
1.91379 0	0	
1.92288 0	0	
1.93197 0	0	
1.94106 0	0	
1.95015 0	0	
1.95924 0	0	
1.96834 0	0	
1.97743 0	0	
1.98652 0	0	
1.99561 0	0	
2.0047 0	0	
2.01379 0	0	
2.02289 0	0	
2.03198 0	0	
2.04107 0	0	
2.05016 0	0	
2.05925 0	0	
2.06834 0	0	
2.07744 0	0	
2.08653 0	0	
2.09562 0	0	
2.10471 0	0	
2.1138 0	0	
2.12289 0	0	
